Cost,Time,Env,Multiplier,Threshold_Label
13271.254009571148,125.0,27301397.736380447,0.5,0.5x ($A=0.5M$)
15219.475732876825,115.0,27130597.03931889,0.5,0.5x ($A=0.5M$)
18902.495819663218,94.0,30072324.478577707,0.5,0.5x ($A=0.5M$)
15506.306298275074,112.0,28524793.066849463,0.5,0.5x ($A=0.5M$)
15154.264508029979,113.0,27695000.427867223,0.5,0.5x ($A=0.5M$)
13931.331290465063,120.0,28642298.030005045,0.5,0.5x ($A=0.5M$)
13954.0644517531,123.0,26883023.18937971,0.5,0.5x ($A=0.5M$)
19418.820296793074,92.0,29859085.362630874,0.5,0.5x ($A=0.5M$)
18538.69416923412,97.0,28893906.252645582,0.5,0.5x ($A=0.5M$)
15674.921056865842,108.0,31014638.35271816,0.5,0.5x ($A=0.5M$)
17392.611278610544,103.0,28526015.21765109,0.5,0.5x ($A=0.5M$)
13052.698763727418,126.0,26958452.57820084,0.5,0.5x ($A=0.5M$)
13012.995552526017,126.0,28255180.494151045,0.5,0.5x ($A=0.5M$)
19491.10267320027,93.0,29072919.855449576,0.5,0.5x ($A=0.5M$)
15083.551676155983,115.0,28809862.96015579,0.5,0.5x ($A=0.5M$)
19002.360302066394,96.0,29307970.726937305,0.5,0.5x ($A=0.5M$)
19166.884619781413,93.0,29862631.559345946,0.5,0.5x ($A=0.5M$)
15812.219231337625,109.0,28742253.508590505,0.5,0.5x ($A=0.5M$)
18413.021789437993,96.0,30441135.211757496,0.5,0.5x ($A=0.5M$)
15906.719266034992,108.0,30564843.59239442,0.5,0.5x ($A=0.5M$)
14392.570570575135,118.0,27430140.56015844,0.5,0.5x ($A=0.5M$)
16856.029928132673,104.0,29050150.64780335,0.5,0.5x ($A=0.5M$)
17234.923399655396,104.0,27642409.50582061,0.5,0.5x ($A=0.5M$)
14001.202622572126,120.0,28116331.89432121,0.5,0.5x ($A=0.5M$)
18523.429498043086,95.0,30223139.32661679,0.5,0.5x ($A=0.5M$)
14164.85151120072,121.0,27051626.645849876,0.5,0.5x ($A=0.5M$)
