Cost,Time,Env,Multiplier,Decay_Label
14256.492002226345,116.0,5.966996104082295,1.5,1.5x (Rate=0.15)
13920.26458824152,121.0,5.713743414916484,1.5,1.5x (Rate=0.15)
17719.529505361217,102.0,5.556556267834853,1.5,1.5x (Rate=0.15)
13811.064244268486,118.0,5.95202729591819,1.5,1.5x (Rate=0.15)
15864.540221362378,109.0,5.835275858181579,1.5,1.5x (Rate=0.15)
19889.025946592446,91.0,5.579116885038313,1.5,1.5x (Rate=0.15)
18744.86735522288,95.0,5.65158324850923,1.5,1.5x (Rate=0.15)
14052.614163879147,118.0,5.897747769778557,1.5,1.5x (Rate=0.15)
14543.940333997663,114.0,5.92709549423322,1.5,1.5x (Rate=0.15)
13514.642965727395,123.0,5.766538637315908,1.5,1.5x (Rate=0.15)
14620.206148352032,115.0,5.882071273103544,1.5,1.5x (Rate=0.15)
13757.544677536922,122.0,5.701392852856472,1.5,1.5x (Rate=0.15)
19483.74270840554,92.0,5.737103974573769,1.5,1.5x (Rate=0.15)
16326.816279652074,108.0,5.7561939895248,1.5,1.5x (Rate=0.15)
19650.071551676883,93.0,5.595656392592091,1.5,1.5x (Rate=0.15)
15633.306417117938,110.0,5.791163945624027,1.5,1.5x (Rate=0.15)
16370.110281885158,107.0,5.801342538557988,1.5,1.5x (Rate=0.15)
18925.19911112152,94.0,5.657980156605505,1.5,1.5x (Rate=0.15)
16508.8132562957,108.0,5.568860008710752,1.5,1.5x (Rate=0.15)
18029.422130932897,100.0,5.548741827843756,1.5,1.5x (Rate=0.15)
18582.588242513542,96.0,5.684144886414611,1.5,1.5x (Rate=0.15)
15156.86992043507,113.0,5.829716067110917,1.5,1.5x (Rate=0.15)
18343.26202925851,99.0,5.639964985319581,1.5,1.5x (Rate=0.15)
15492.070382254511,111.0,5.75517426828973,1.5,1.5x (Rate=0.15)
13214.729002714992,126.0,5.69505702263872,1.5,1.5x (Rate=0.15)
14306.23942813307,120.0,5.722652991943911,1.5,1.5x (Rate=0.15)
14908.61930607806,114.0,5.846958086585418,1.5,1.5x (Rate=0.15)
14286.55432942281,116.0,5.9046852048422975,1.5,1.5x (Rate=0.15)
17929.309547605884,98.0,5.761950607756614,1.5,1.5x (Rate=0.15)
13289.899686381896,125.0,5.65256882690132,1.5,1.5x (Rate=0.15)
15396.92558892702,115.0,5.672467828822703,1.5,1.5x (Rate=0.15)
16719.510470550857,106.0,5.644343064872988,1.5,1.5x (Rate=0.15)
19155.516764301352,94.0,5.629147895770723,1.5,1.5x (Rate=0.15)
13014.29469146624,127.0,5.686347325881047,1.5,1.5x (Rate=0.15)
19285.58809951809,93.0,5.63495935937909,1.5,1.5x (Rate=0.15)
15800.756390100642,109.0,5.845873728890273,1.5,1.5x (Rate=0.15)
14235.60579778586,117.0,5.853738002629228,1.5,1.5x (Rate=0.15)
15179.126971514088,112.0,5.937771902126712,1.5,1.5x (Rate=0.15)
15235.723782454244,112.0,5.836369012772526,1.5,1.5x (Rate=0.15)
16973.09821258566,106.0,5.593334251939286,1.5,1.5x (Rate=0.15)
19907.660346133292,90.0,5.6185777541249955,1.5,1.5x (Rate=0.15)
13039.812233866738,126.0,5.706167409640549,1.5,1.5x (Rate=0.15)
20248.675607306493,88.0,5.677919069625407,1.5,1.5x (Rate=0.15)
19518.819439498588,92.0,5.605185161327949,1.5,1.5x (Rate=0.15)
17407.668082595075,103.0,5.581911852806872,1.5,1.5x (Rate=0.15)
14341.815440732522,116.0,5.872386556084664,1.5,1.5x (Rate=0.15)
14802.31626326227,113.0,5.856209603581901,1.5,1.5x (Rate=0.15)
18227.911218360838,97.0,5.6540057523986125,1.5,1.5x (Rate=0.15)
14403.10308549081,119.0,5.77089032382196,1.5,1.5x (Rate=0.15)
16878.748018031427,104.0,5.78168308681937,1.5,1.5x (Rate=0.15)
13567.932178934272,124.0,5.683139756482283,1.5,1.5x (Rate=0.15)
20067.01149244627,89.0,5.622208292499252,1.5,1.5x (Rate=0.15)
12983.643606647547,126.0,5.7508942464767285,1.5,1.5x (Rate=0.15)
16752.03004693167,105.0,5.788649563734806,1.5,1.5x (Rate=0.15)
14691.380126852295,113.0,5.902585280842757,1.5,1.5x (Rate=0.15)
18621.74209741579,97.0,5.55038275848938,1.5,1.5x (Rate=0.15)
17825.037297684863,101.0,5.778525769008325,1.5,1.5x (Rate=0.15)
18098.14351887,104.0,5.412132830585866,2.0,2.0x (Rate=0.20)
12390.752091482234,130.0,5.707387411322224,2.0,2.0x (Rate=0.20)
20405.159912507126,88.0,5.600269831660059,2.0,2.0x (Rate=0.20)
20332.967588487016,87.0,5.689186968858932,2.0,2.0x (Rate=0.20)
16138.122408578734,107.0,5.9332097021193,2.0,2.0x (Rate=0.20)
19758.52525414197,92.0,5.564774349177662,2.0,2.0x (Rate=0.20)
16286.030703275026,110.0,5.484687041000652,2.0,2.0x (Rate=0.20)
19256.703988891943,97.0,5.457389317956915,2.0,2.0x (Rate=0.20)
15679.05317605949,108.0,5.896912273736525,2.0,2.0x (Rate=0.20)
15356.067178357975,116.0,5.620582849987657,2.0,2.0x (Rate=0.20)
18447.696343730244,100.0,5.43700000105117,2.0,2.0x (Rate=0.20)
15967.373914066631,114.0,5.44723476826451,2.0,2.0x (Rate=0.20)
19113.65569192274,94.0,5.756870025301833,2.0,2.0x (Rate=0.20)
